method,sequence,frames,mean_iou,success_auc,precision_20,mean_cle,invalid_pred_count,invalid_gt_count,valid_eval_frames
fixed_wide,person18,465,0.6810200403783258,0.6796976471840728,0.7548387096774194,34.4972259695369,0,0,465
fixed_wide,person1_s,534,0.0358420434472503,0.04514777320428665,0.04868913857677903,692.178833108546,0,0,534
fixed_wide,person20,595,0.8056083116042555,0.8027123720775432,0.8756302521008403,10.16163984040126,0,0,595
fixed_wide,person21,163,0.010602507042372132,0.0203486606329344,0.06134969325153374,208.86868870619367,0,0,163
fixed_wide,person22,67,0.7363898314477765,0.7341510270430031,1.0,2.4238669997708198,0,0,67
fixed_wide,person23,133,0.008762906999510357,0.018164222437281375,0.007518796992481203,320.200166486278,0,0,133
fixed_wide,person2_s,84,0.8326760982068345,0.8290900518623299,0.9047619047619048,8.583673136443142,0,0,84
fixed_wide,person3,215,0.7963729557787848,0.7935988947731978,1.0,4.540805650834413,0,0,215
fixed_wide,person3_s,169,0.35326771471876584,0.3573144296678192,0.3431952662721893,167.05016380481376,0,0,169
fixed_wide,person6,301,0.838811769218015,0.8353343640011842,1.0,2.108919957566853,0,0,301
fixed_wide,person9,221,0.05517222560788426,0.06424443349312302,0.06334841628959276,54883.855403520116,0,12,209
fixed_wide,truck1,155,0.8187666255415328,0.8153944426700729,0.8129032258064516,12.542477334818635,0,0,155
fixed_wide,truck2,129,0.02149650083770516,0.031007751937984534,0.023255813953488372,613.998944503092,0,0,129
fixed_wide,truck3,179,0.012772749431097493,0.02245699430278225,0.0223463687150838,466.9109563284165,0,0,179
fixed_wide,uav2,45,0.022222222222222223,0.03190319031903183,0.06666666666666667,111179.19931802305,0,5,40
fixed_wide,uav3,89,0.012325816747541324,0.02202692179330291,0.011235955056179775,337.1217566427186,0,0,89
fixed_wide,uav4,53,0.021690964223270152,0.029889781430973397,0.18867924528301888,58.523078045142945,0,0,53
fixed_wide,uav5,47,0.02127659574468085,0.030966926479882067,0.02127659574468085,194.96724361978082,0,0,47
fixed_wide,uav6,37,0.10747014712576518,0.11533315493711525,0.1891891891891892,27079.888410836997,0,1,36
fixed_wide,uav7,125,0.008603351955307263,0.018376237623762382,0.016,40202.406370202094,0,5,120
fixed_wide,uav8,101,0.009900990099009901,0.01970395059307912,0.009900990099009901,168.7550408756673,0,0,101
fixed_wide,wakeboard1,141,0.7914557303462967,0.7890597570395339,1.0,6.1708447729232825,0,0,141
fixed_wide,wakeboard10,157,0.06949173496455671,0.0764961846503124,0.35668789808917195,25.434703224666983,0,0,157
fixed_wide,wakeboard2,245,0.6378651546095875,0.6372196403313796,0.8775510204081632,40.55596415476791,0,0,245
fixed_wide,wakeboard3,275,0.1562357893993268,0.16334833483348357,0.22181818181818183,396.3299079077621,0,0,275
fixed_wide,wakeboard4,233,0.7914317504024162,0.788637232821995,0.9699570815450643,4.0963245169606886,0,0,233
fixed_wide,wakeboard5,559,0.5315867663834393,0.5325634531252769,0.7710196779964222,26.251305999225416,0,0,559
fixed_wide,wakeboard6,389,0.18012001042030895,0.18697345312937452,0.2365038560411311,242.78901564240158,0,0,389
fixed_wide,wakeboard7,67,0.7730002450202503,0.7699128121767411,1.0,2.5753301733652867,0,0,67
fixed_wide,wakeboard8,515,0.22651011775695465,0.2325290781505334,0.3378640776699029,148.06939256343543,0,0,515
fixed_wide,wakeboard9,119,0.008403361344537815,0.018221149846077016,0.008403361344537815,194.41193880723046,0,0,119
scale_only,bike1,1029,0.20529358531534628,0.21144242704153784,0.2944606413994169,398.9519674268854,0,0,1029
scale_only,bike2,185,0.0217001617001617,0.03136205512443125,0.06486486486486487,59555.24651777563,0,11,174
scale_only,bike3,145,0.02912154782337338,0.03857972004096958,0.0896551724137931,157.5635988296872,0,0,145
scale_only,boat1,301,0.9194119414562012,0.915298838853985,1.0,2.6249222081289507,0,0,301
scale_only,boat2,267,0.9292112112110933,0.9250936329588015,1.0,2.5201008480057134,0,0,267
